,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
325,1,47,0,35,7,48,2,22,1,14,69,8,8,6,4,4,5,5,15,0,31,49,33,47,40,60,60,12,1,39,49,34,46,21,0,2,9,12,11,3,11,16,0,15,18,18,14,16,15,14,15,48,57,46,0,8,1,4,74,52,49,54,44,51,51,20,27,21,0,0,0,72,7,5,1,5,4,1,2,4,50,11,9,26,42,91,50,302
326,20,33,3,29,7,21,9,55,74,23,2,12,8,4,3,2,5,3,22,0,11,49,33,47,40,14,60,12,1,17,33,12,15,21,0,0,25,21,10,18,18,1,0,2,19,14,1,2,0,16,15,48,57,46,0,8,2,4,31,52,21,54,0,17,31,15,52,2,2,1,0,70,5,8,5,22,4,2,1,2,50,10,11,27,8,52,38,148
327,1,50,2,66,2,64,18,20,5,26,48,24,6,1,4,5,4,5,31,0,11,3,33,2,35,83,19,1,1,39,18,61,73,0,37,43,48,46,0,30,0,53,31,48,30,0,45,43,0,1,15,48,57,0,49,0,0,5,0,29,45,47,28,18,47,1,0,2,1,4,14,33,5,5,9,5,0,3,4,4,3,13,4,27,54,28,13,169
328,2,52,0,46,7,31,17,17,1,11,1,7,9,7,5,4,5,5,22,5,31,36,33,7,33,60,42,1,35,43,33,60,53,1,0,0,39,0,10,10,16,1,2,0,29,5,13,0,0,16,0,31,38,1,49,1,0,5,61,34,36,35,7,17,44,15,23,2,1,4,7,31,3,2,1,26,5,0,0,0,17,12,9,26,44,91,48,129
329,22,30,0,44,7,22,4,10,1,16,1,19,7,5,5,3,5,5,31,0,9,49,33,7,25,69,26,1,1,26,15,26,58,17,0,0,2,0,13,2,21,43,0,39,4,25,44,42,16,16,6,5,43,57,0,3,7,3,57,52,49,54,44,51,51,20,0,2,3,2,7,75,4,3,0,6,1,4,1,1,17,10,7,26,54,14,50,57
330,19,29,0,38,7,8,59,14,1,42,1,50,7,5,3,2,4,4,22,0,31,3,33,47,40,55,60,12,35,47,42,13,50,21,0,0,14,30,13,10,16,34,0,31,19,14,1,2,3,17,6,31,33,46,0,1,0,5,31,52,9,54,29,14,38,16,32,18,0,0,0,52,6,5,7,5,3,3,2,3,50,10,9,26,8,87,26,140
331,11,38,0,38,16,81,71,58,0,55,0,50,0,0,1,1,7,5,19,0,10,48,33,2,31,83,22,0,27,25,0,30,69,18,0,0,0,16,0,30,0,53,31,48,30,0,45,43,0,14,15,48,57,1,49,1,0,5,1,52,23,22,29,16,16,13,18,10,3,2,7,0,6,8,2,0,5,1,2,2,50,2,4,26,8,28,40,251
332,20,14,5,21,15,11,0,42,2,52,2,15,7,4,1,3,5,5,31,0,9,49,33,2,35,53,31,1,35,45,48,20,46,17,18,0,0,30,15,25,17,0,0,1,2,22,37,36,22,3,3,36,31,55,0,3,7,3,50,52,31,27,43,46,46,3,0,2,3,2,15,75,5,5,5,6,2,0,0,2,38,9,9,26,54,84,43,33
333,4,19,1,29,6,17,15,52,1,42,1,22,10,7,6,2,4,4,22,0,31,47,33,18,21,53,60,12,1,33,30,13,46,17,2,8,14,16,12,10,16,27,0,25,18,18,1,2,15,15,6,45,31,46,0,1,0,5,56,30,36,54,33,35,0,14,16,22,2,1,0,72,1,1,4,5,4,3,3,3,50,10,9,26,8,84,48,163
334,18,35,3,14,7,9,1,11,1,55,0,50,6,1,3,2,5,5,22,0,31,25,33,7,31,31,24,1,1,48,52,28,30,18,0,2,9,12,10,19,15,1,2,0,29,5,44,0,0,11,3,14,21,24,40,14,0,5,1,52,19,37,43,50,16,10,23,2,3,2,17,70,2,2,1,5,5,2,2,3,2,10,4,26,8,60,32,209
