,hhmem_size_1,hhmem_age_1,hhmem_married_1,hhmem_age_2,hh_relate_3,hhmem_age_3,hhmem_age_4,hhmem_age_5,illness_5,hhmem_age_6,illness_6,hhmem_age_7,childu18_num,child5_17_num,adultm_num,adultf_num,econstatus,yrs_grow,cocoa_wgt,fert_buy,fert_cost,fert_lqd_cost,herbicide_buy_cnt,pesticide_buy_cnt,pesticide_cost,farm_a_1,farm_yracquired_1,farm_rights_1,farm_time_1,farm_km_1,farm_reserve_1,cocoa_years_1,cocoa_lndamnt_1,cocoa_variety_1,cocoa_ages_0_5_1,cocoa_ages_6_10_1,cocoa_ages_11_19_1,cocoa_ages_20_30_1,shadetree_num_1,shadetree_calc_1_1,shadetree_label_1_1,shade_tree_tot_1_1,shade_natural_1_1,shade_planted_1_1,shadetree_calc_1_2,shadetree_label_1_2,shade_tree_tot_1_2,shade_planted_1_2,shadetree_label_1_3,shadetree_tot2_1,pesticide_app_1,pesticide_num_app_1,pesticide_area_app_1,labor_hh_1,fam_worker_prep_1_1,disease_1,disease_year_1_1,disease_location_1_1,pest_1,doc_land_cocoa_yr_1,farm_a_2,farm_yracquired_2,farm_time_2,farm_km_2,farm_reserve_2,shadetree_tot2_2,noncocoa_affecthow,noncocoa_pay,days_random_a,random_c_options,income_source,fwildlifedied_1,ffladder_elders_1,ffladder_lmb_1,ffladder_frstdpt_1,rules_violate_1,likelihood_help3,trust_nbr,trust_lmb,trust_ca,chickens,sleeprooms,toilet,today,cocoa_price_kg,farm_a_1_acres,farm_a_2_acres,cocoa_produce
0,16,34,0,30,3,3,71,58,0,55,0,50,1,1,1,1,3,4,26,0,49,49,33,47,40,36,35,1,7,9,32,16,46,18,0,0,25,21,10,10,16,43,22,39,19,14,1,2,0,17,15,48,57,36,12,1,0,5,80,52,40,23,29,29,29,16,0,22,2,1,15,48,8,7,9,20,3,2,3,3,2,8,9,6,13,63,8,64
1,20,33,5,46,7,21,26,18,2,50,11,2,6,4,4,2,4,0,31,0,49,49,33,47,40,1,55,2,13,12,0,33,1,21,3,0,0,0,1,21,5,26,0,24,30,0,45,43,0,1,15,48,57,46,0,12,2,3,31,52,40,48,0,18,0,1,0,22,3,2,15,49,1,5,1,4,4,2,1,2,0,10,9,20,54,1,8,122
2,11,55,3,36,16,81,71,58,0,55,0,50,0,0,1,1,6,3,26,0,31,49,33,47,40,36,9,1,20,49,53,8,34,21,0,0,3,0,1,29,4,0,1,0,30,0,45,43,0,1,3,17,24,1,49,1,0,5,47,52,49,54,44,51,51,20,0,2,0,0,4,0,10,10,10,0,3,3,0,3,50,8,1,13,8,63,50,215
3,16,3,5,14,7,65,71,58,0,55,0,50,1,1,1,1,2,0,31,0,49,49,17,1,35,7,52,1,35,17,20,44,1,23,3,0,0,0,1,18,18,26,17,0,30,0,45,43,0,1,3,0,1,45,0,1,0,5,7,52,49,54,44,51,51,20,65,13,1,4,0,0,10,10,10,0,1,2,0,2,50,0,10,34,54,32,50,52
4,18,15,0,28,3,6,9,1,50,55,0,50,7,4,1,2,8,0,31,1,24,49,0,42,28,33,51,0,14,26,53,44,34,21,3,0,0,0,0,30,0,53,31,48,30,0,45,43,0,0,8,44,24,46,0,8,2,0,83,52,26,42,1,10,42,0,32,13,4,3,54,49,6,10,7,18,1,0,2,2,0,10,9,20,54,65,35,5
5,20,34,0,29,7,20,10,57,2,50,2,12,7,4,3,2,5,3,31,0,31,49,33,17,27,14,42,7,22,26,53,23,15,21,0,0,0,2,1,29,4,22,16,0,30,0,45,43,0,1,3,17,10,1,0,8,3,0,38,34,1,51,1,8,51,1,0,22,4,3,0,0,10,10,10,0,5,3,3,3,50,8,9,41,54,52,2,50
6,16,55,3,1,9,78,71,58,0,55,0,50,6,4,0,1,3,5,13,0,9,24,33,47,40,36,60,12,12,39,33,23,34,21,0,13,21,12,1,1,23,16,13,0,30,0,45,43,0,1,15,48,57,59,10,3,3,4,48,17,31,54,22,43,31,1,18,6,4,3,0,2,8,8,1,6,3,2,3,4,50,0,10,5,8,63,43,267
7,0,48,3,88,16,81,71,58,0,55,0,50,0,0,1,0,4,5,31,0,10,1,33,47,40,60,16,1,12,48,53,30,53,21,0,0,0,31,0,30,0,53,31,48,30,0,45,43,0,0,15,48,57,1,0,8,2,3,1,52,49,54,44,51,51,20,0,2,0,0,0,0,10,10,10,0,5,2,0,2,50,9,10,3,54,91,50,124
8,20,23,0,30,7,8,6,57,1,42,35,0,9,6,3,1,3,4,15,0,49,49,33,24,31,75,36,1,35,45,22,15,53,18,0,10,10,21,13,6,24,48,27,0,1,23,34,1,20,16,3,31,38,46,45,2,1,3,50,6,49,54,44,51,51,20,56,2,0,0,0,51,0,0,1,0,3,2,4,4,50,10,9,19,8,21,50,3
9,17,47,0,44,7,13,8,58,0,55,0,50,1,1,1,3,8,1,31,0,49,40,30,24,3,78,41,10,16,15,53,1,34,21,15,35,0,0,1,19,15,52,30,0,30,0,45,43,0,1,3,44,24,7,23,1,0,5,1,52,49,54,44,51,51,20,49,7,3,2,7,0,1,1,1,2,4,4,4,4,30,9,0,17,54,24,50,10
10,18,29,5,39,7,78,59,2,1,55,0,50,7,5,1,1,5,2,22,0,38,1,24,30,31,39,48,1,35,48,22,1,18,21,15,35,0,0,10,21,5,26,0,24,29,5,0,0,0,15,3,39,5,45,0,8,3,2,67,52,8,38,15,17,22,14,0,10,3,2,7,0,10,10,10,0,3,2,4,4,50,9,9,14,50,75,25,183
11,17,41,5,54,7,11,1,58,0,55,0,50,1,0,3,1,5,5,22,0,49,49,20,1,33,75,23,1,1,39,46,29,8,21,0,0,0,2,11,1,23,43,0,39,2,22,34,32,4,14,3,0,5,1,22,9,3,4,83,52,20,41,20,28,43,13,0,23,1,4,12,48,1,10,0,0,3,1,4,4,50,13,3,20,53,21,31,182
12,20,17,0,25,7,5,2,52,9,42,1,0,9,6,1,1,0,2,22,2,10,11,12,34,39,26,44,0,16,12,15,5,58,21,2,27,14,0,10,19,15,1,2,0,29,5,37,0,0,11,3,36,43,17,37,2,7,3,61,12,49,54,44,51,51,20,19,22,4,3,54,0,10,10,10,0,3,4,4,4,17,12,9,18,19,55,50,214
13,2,40,0,51,9,65,53,42,1,2,1,29,11,8,3,3,0,2,31,21,31,49,11,17,28,36,45,0,2,9,53,5,15,21,0,0,3,0,1,3,11,43,0,39,30,0,45,43,0,11,1,32,24,42,0,8,1,4,31,52,5,38,33,8,51,10,0,0,0,0,0,0,10,10,10,0,4,4,4,4,0,9,10,10,54,63,15,246
14,1,45,1,51,6,40,21,9,1,6,1,6,10,8,1,4,7,5,31,5,19,18,2,2,3,60,34,0,15,45,33,17,53,21,0,13,21,12,0,30,0,53,31,48,30,0,45,43,0,16,3,1,38,42,0,8,4,3,75,52,36,54,15,43,14,15,23,2,4,3,7,0,10,10,10,0,2,1,3,3,50,9,2,5,54,91,48,169
15,17,46,4,65,9,2,13,58,0,55,0,50,1,1,1,2,0,2,15,0,49,49,33,47,40,55,44,1,1,33,22,6,8,21,18,0,34,0,1,29,4,36,20,0,30,0,45,43,0,1,15,48,57,1,37,2,1,0,35,52,49,54,44,51,51,20,56,2,2,1,7,75,0,0,1,5,6,0,0,0,50,14,9,19,42,87,50,2
16,18,42,0,51,7,31,24,0,2,55,0,50,1,0,3,2,3,5,31,0,27,36,30,17,31,1,7,1,7,12,46,29,1,23,26,12,0,0,1,29,4,0,1,0,30,0,45,43,0,1,3,17,1,55,0,8,3,0,83,52,5,1,9,14,43,1,49,2,1,4,49,49,0,0,0,10,4,2,0,2,8,9,10,22,54,1,15,67
17,17,39,0,48,7,6,65,58,0,55,0,50,6,4,1,1,5,5,31,0,31,49,33,47,40,36,60,12,15,22,36,17,34,21,0,0,37,9,10,10,16,26,17,0,23,4,31,0,0,11,15,48,57,45,0,3,3,4,76,52,49,54,44,51,51,20,0,21,0,0,0,14,1,1,1,0,3,0,0,4,50,10,2,7,54,63,50,230
18,1,51,1,57,6,51,45,27,1,17,1,2,8,6,4,3,2,3,22,0,31,49,33,24,18,53,59,0,16,12,0,12,8,4,0,0,34,12,0,30,0,53,31,48,30,0,45,43,0,0,6,27,31,57,0,14,0,5,34,52,49,54,44,51,51,20,0,0,3,2,54,0,10,10,10,0,0,0,2,2,50,10,0,29,2,84,50,214
19,20,25,0,28,12,18,31,57,1,8,1,3,7,5,4,2,3,2,1,36,32,49,12,18,33,53,44,11,35,44,0,6,46,4,0,0,3,0,13,0,22,5,0,6,3,11,19,20,16,16,6,1,31,42,0,8,2,2,43,52,44,37,43,19,0,15,56,22,1,4,0,0,1,4,1,0,4,3,3,3,50,9,9,32,8,84,12,34
20,19,26,0,35,9,78,65,55,1,42,2,50,8,6,1,1,5,4,31,0,49,49,33,47,40,69,35,1,1,12,53,16,8,21,0,3,0,0,14,1,23,45,24,0,2,22,34,32,22,17,15,48,57,45,0,8,1,3,35,52,49,54,44,51,51,20,23,7,1,4,79,48,7,7,6,13,3,1,2,2,50,8,9,37,54,14,50,311
21,22,38,5,42,7,16,5,57,1,3,1,23,9,6,3,2,5,1,26,0,31,36,17,17,18,60,43,9,35,44,12,59,53,21,32,13,0,0,0,30,0,53,31,48,30,0,45,43,0,0,3,17,38,57,0,8,3,3,1,35,36,34,0,43,11,0,0,0,4,3,15,0,10,10,10,0,1,1,0,2,23,10,9,14,50,91,48,214
22,11,45,0,53,16,81,71,58,0,55,0,50,0,0,1,1,9,1,22,0,31,36,33,47,40,83,31,0,2,12,53,1,8,21,28,17,0,0,10,1,23,36,20,0,29,5,0,0,0,14,15,48,57,1,49,1,0,5,1,52,20,24,15,17,31,13,0,10,0,0,13,33,7,2,2,0,5,2,2,1,50,11,5,38,50,28,31,149
23,0,25,2,88,16,81,71,58,0,55,0,50,0,0,1,0,5,3,20,0,11,39,30,17,35,69,40,0,35,12,33,10,36,21,8,10,28,0,11,10,16,0,1,0,18,18,0,0,15,14,15,48,57,25,8,1,0,5,1,12,49,54,44,51,51,20,21,2,0,0,7,0,7,6,9,1,0,1,2,4,50,0,4,27,50,14,50,287
24,16,37,5,52,12,42,71,58,0,55,0,50,0,0,3,1,0,4,19,0,49,49,33,17,28,53,39,1,16,9,10,12,46,21,18,0,0,30,1,19,15,22,22,20,30,0,45,43,0,1,3,17,31,46,13,3,2,3,49,52,20,54,29,14,13,1,69,2,1,4,80,0,1,1,1,5,3,4,4,4,0,10,9,9,44,84,31,214
25,22,23,1,19,1,16,5,5,1,42,1,32,8,5,4,2,7,2,31,13,23,49,27,9,25,18,44,9,1,47,33,7,21,21,13,8,28,0,0,30,0,53,31,48,30,0,45,43,0,0,10,8,12,43,0,15,0,5,1,36,49,54,44,51,51,20,0,22,1,4,0,0,10,10,10,0,3,4,2,4,2,9,9,8,54,41,50,200
26,16,35,0,55,7,11,71,58,0,55,0,50,0,0,3,1,3,1,31,0,19,49,24,20,28,53,19,0,13,9,53,57,34,21,0,3,0,0,10,3,11,48,0,43,21,6,25,23,0,11,2,21,24,46,0,3,1,4,83,52,20,15,0,28,51,10,0,10,4,3,7,52,1,10,9,0,5,4,2,4,9,8,10,16,54,84,31,217
27,2,38,3,21,7,26,31,52,1,3,69,3,11,6,3,2,4,1,31,0,49,49,33,47,40,36,59,1,12,45,53,1,15,22,0,10,0,31,1,29,4,0,1,0,30,0,45,43,0,1,3,17,5,51,0,1,0,5,83,52,1,22,0,40,51,1,0,2,2,1,45,0,10,10,10,0,3,3,0,3,50,9,1,28,54,63,2,168
28,17,46,0,58,7,10,22,58,0,55,0,50,0,0,3,2,7,4,31,0,49,16,1,30,35,60,34,10,16,13,53,16,53,18,33,6,26,6,14,6,24,5,29,32,11,15,37,23,2,17,3,39,38,36,0,2,1,3,80,52,20,27,23,15,51,16,32,27,2,1,7,0,10,10,10,0,0,2,1,2,50,8,4,15,54,91,31,292
29,17,33,5,29,7,73,12,58,0,55,0,50,6,1,1,1,7,2,3,0,31,36,27,37,28,55,48,9,23,39,22,2,50,21,0,0,3,0,12,3,11,45,0,41,11,15,31,0,15,15,3,39,33,42,0,3,1,0,32,40,5,44,1,14,46,14,55,3,2,1,7,48,7,3,1,25,3,4,2,3,11,10,12,32,8,87,15,35
30,18,27,0,35,7,78,5,52,1,55,0,50,7,5,1,1,5,3,15,0,19,3,11,47,40,69,42,0,12,45,53,8,1,4,2,27,14,0,0,30,0,53,31,48,30,0,45,43,0,0,15,48,57,45,31,12,7,3,62,52,40,48,0,36,51,0,29,2,2,1,54,0,10,10,10,0,3,4,0,4,0,11,4,29,26,14,8,182
31,22,39,1,32,6,26,6,52,32,52,26,2,10,6,1,2,6,4,22,34,31,36,5,12,28,65,35,9,1,33,53,16,39,21,0,0,0,2,0,30,0,53,31,48,30,0,45,43,0,0,9,11,27,42,0,8,1,3,32,27,49,54,44,51,51,20,0,22,3,2,0,0,10,10,10,0,3,2,2,2,50,12,12,40,8,12,50,64
32,16,15,5,22,7,78,71,58,0,55,0,50,1,1,1,1,2,2,31,1,11,49,17,17,28,55,45,1,12,33,53,5,5,19,0,0,3,0,11,0,22,16,13,0,6,24,25,0,5,14,6,17,5,42,0,8,1,3,83,52,49,54,44,51,51,20,46,21,0,0,7,34,0,10,0,0,4,2,0,2,50,8,9,17,54,87,50,17
33,21,45,0,57,7,13,9,2,1,4,1,48,9,7,3,2,3,2,31,0,49,49,2,2,33,18,34,9,15,45,53,6,65,21,0,0,3,0,12,16,2,17,14,0,18,18,13,0,15,16,6,5,51,10,18,8,3,4,54,26,20,38,0,28,51,15,0,10,3,2,15,48,1,1,1,13,1,4,4,4,37,12,9,19,54,41,31,124
34,17,36,0,47,7,15,23,58,0,55,0,50,1,0,3,1,3,4,31,0,31,49,33,47,40,69,38,0,16,9,53,13,8,21,0,0,0,2,11,3,11,17,0,16,14,10,34,32,4,14,15,48,57,46,0,3,1,4,83,52,49,54,44,51,51,20,0,10,4,3,83,52,1,10,5,18,5,4,2,4,2,9,0,16,54,14,50,198
35,19,24,6,28,7,78,65,42,2,12,2,50,8,5,1,1,5,4,31,29,31,7,8,30,35,77,37,0,16,26,53,14,58,22,2,13,21,8,11,10,16,49,0,44,19,14,14,16,4,14,3,17,43,45,46,2,7,3,61,52,49,54,44,51,51,20,19,3,2,1,0,0,10,10,10,0,3,1,2,3,2,10,4,12,54,23,50,89
36,19,26,5,31,7,4,69,47,47,46,40,50,8,6,1,1,5,5,11,0,49,49,33,1,35,36,44,10,25,9,45,39,34,21,26,20,14,12,1,29,4,17,14,0,30,0,45,43,0,1,0,0,24,51,0,1,0,5,43,52,5,36,43,46,42,1,0,0,4,3,7,0,1,0,0,5,0,0,0,2,50,8,9,36,32,63,15,243
37,9,42,0,53,9,78,53,35,1,33,1,43,11,7,4,5,2,5,4,0,49,49,17,30,31,24,60,12,25,21,45,34,69,22,26,20,0,0,0,30,0,53,31,48,30,0,45,43,0,0,8,31,54,1,49,9,3,4,64,52,36,54,33,21,42,0,0,0,0,0,7,0,1,10,10,0,0,0,0,0,50,15,10,28,44,47,48,183
38,20,26,0,30,12,26,13,5,1,42,1,11,6,4,5,1,5,2,31,0,49,49,33,47,40,7,35,4,7,9,53,3,8,21,0,0,3,0,1,19,15,36,20,0,30,0,45,43,0,1,15,48,57,19,9,1,0,5,1,52,5,30,32,14,51,1,0,2,4,3,7,0,10,10,10,0,5,4,4,4,0,8,9,20,54,32,15,80
39,18,4,5,22,7,45,59,1,2,55,0,50,7,4,1,1,5,1,15,0,31,49,24,47,40,7,52,1,12,45,10,22,8,21,18,33,0,0,10,6,24,43,22,0,21,6,13,0,0,11,15,48,57,46,31,8,3,4,83,52,49,54,44,51,51,20,15,11,0,0,54,0,8,10,0,0,3,1,1,3,50,0,10,30,53,32,50,84
40,11,48,4,11,16,81,71,58,0,55,0,50,0,0,0,2,6,3,1,0,31,49,33,17,31,36,37,1,22,12,12,12,34,21,0,0,34,12,13,8,27,26,17,0,19,14,1,2,3,20,15,48,57,1,49,3,3,4,59,52,20,40,34,16,11,19,22,21,4,3,0,19,7,7,0,18,0,2,2,3,50,3,2,28,8,63,31,16
41,18,41,5,27,7,10,69,57,1,55,0,50,6,4,3,1,7,5,22,0,11,1,33,47,40,87,28,10,1,26,24,24,69,18,2,20,38,32,4,6,24,18,11,16,25,17,34,0,21,4,3,17,38,9,47,1,0,5,1,4,49,54,44,51,51,20,18,22,3,2,7,42,8,5,0,0,3,3,3,3,22,9,10,36,50,38,50,182
42,21,35,0,37,7,17,8,5,1,52,2,9,8,6,5,2,5,1,31,0,0,36,33,17,30,36,52,0,21,26,53,57,15,21,15,35,0,0,11,1,23,36,0,32,19,14,0,0,5,14,3,17,10,7,44,8,5,4,59,52,11,45,0,48,51,13,0,7,0,0,7,52,1,1,4,13,4,3,0,3,2,11,9,22,54,63,20,39
43,20,23,3,12,7,7,8,6,2,2,2,46,9,7,3,2,5,4,15,1,31,49,33,47,40,7,60,12,1,26,10,13,8,21,0,0,21,25,1,28,26,1,0,2,30,0,45,43,0,1,0,0,5,46,0,8,1,4,1,30,49,54,44,51,51,20,31,21,0,0,0,26,1,1,1,5,4,4,4,4,50,4,9,25,8,32,50,34
44,17,30,0,47,7,6,6,58,0,55,0,50,6,4,1,1,5,5,31,0,31,49,33,47,40,36,33,0,28,33,48,18,34,21,0,16,0,43,10,10,16,26,17,0,29,5,25,0,0,11,15,48,57,42,0,1,0,5,64,52,4,54,23,14,39,10,18,2,0,0,7,2,1,9,1,0,3,0,4,4,50,9,2,22,54,63,5,193
45,19,6,0,14,3,23,6,20,2,16,1,50,6,1,3,2,4,5,30,13,36,49,27,2,28,18,49,1,1,45,53,23,62,21,0,0,0,2,10,22,3,16,13,0,29,5,26,0,0,14,9,32,48,42,0,1,0,5,35,21,31,45,16,14,51,13,0,22,0,0,0,0,10,10,10,0,3,3,1,2,50,12,9,35,8,41,43,232
46,20,59,0,52,11,79,18,6,41,2,3,46,7,5,3,2,2,5,1,0,49,49,33,47,40,18,20,1,16,15,20,32,21,21,8,10,9,5,13,3,11,48,0,43,17,2,10,12,18,16,15,48,57,1,49,2,7,3,58,52,9,41,16,14,29,15,23,12,0,0,12,0,7,3,1,5,5,2,4,2,17,14,4,20,8,41,26,302
47,11,22,5,33,16,81,71,58,0,55,0,50,0,0,1,1,2,1,31,38,19,49,33,47,40,36,50,9,13,12,52,59,34,21,27,21,0,0,1,21,5,0,0,1,30,0,45,43,0,1,15,48,57,46,0,9,3,3,32,52,31,43,16,14,50,1,0,2,3,2,7,48,3,10,8,0,1,1,2,1,37,8,9,38,54,63,43,185
48,22,34,0,44,7,20,13,8,1,4,34,46,9,5,1,4,5,5,22,0,19,11,33,47,40,1,43,0,22,44,48,7,1,17,0,0,3,0,11,18,18,0,1,0,23,4,0,0,26,14,15,48,57,1,49,8,3,4,61,52,49,54,44,51,51,20,18,2,2,1,80,43,5,6,1,5,0,2,3,2,17,9,0,15,8,1,50,243
49,20,14,7,14,12,17,14,14,1,33,1,1,6,0,5,1,4,1,31,0,31,49,20,2,32,53,52,3,13,12,53,58,46,21,27,21,0,0,10,25,17,0,0,1,3,11,31,29,0,14,6,1,31,43,0,9,3,3,31,52,9,46,0,44,51,13,0,15,2,1,75,49,6,3,7,0,4,4,2,3,17,10,9,25,54,84,26,246
50,1,26,0,30,10,29,24,25,1,13,1,8,8,4,4,4,2,0,31,0,49,49,24,34,34,53,54,0,1,26,19,44,46,21,3,0,0,0,13,6,24,26,17,0,11,15,0,0,3,16,6,36,31,45,0,8,1,0,35,52,20,54,0,28,17,15,9,2,4,3,0,2,1,1,1,14,2,1,1,3,50,10,2,18,54,84,31,225
51,1,25,0,48,6,41,29,9,74,8,1,49,10,5,4,3,5,3,31,0,49,49,33,47,40,53,49,0,1,43,22,12,46,23,13,13,9,12,16,6,24,17,14,0,3,11,14,16,16,19,15,48,57,37,0,8,1,0,64,52,5,43,3,46,27,18,5,2,3,2,7,3,5,6,5,14,2,3,2,3,50,9,2,24,54,84,15,245
52,19,32,0,37,7,17,9,55,1,23,12,50,7,4,4,1,4,1,31,0,25,49,30,2,28,36,52,0,14,12,42,57,15,21,0,3,0,0,0,30,0,53,31,48,30,0,45,43,0,0,9,1,10,7,30,12,3,3,35,50,20,36,0,36,38,0,23,22,0,0,7,0,8,8,5,1,2,3,3,3,50,10,9,45,54,63,31,246
53,1,50,0,64,7,14,17,9,1,0,1,49,10,4,1,4,5,5,31,0,49,36,33,47,40,28,28,9,12,44,53,24,22,21,8,5,7,16,14,3,11,0,1,0,11,15,13,0,2,17,3,36,54,7,8,1,0,5,46,20,49,54,44,51,51,20,25,2,3,2,7,0,8,1,1,2,3,3,3,2,4,10,9,32,54,57,50,19
54,22,17,5,27,6,11,58,7,1,3,1,48,9,6,1,3,3,3,3,2,31,49,33,2,28,36,39,9,26,26,53,12,34,21,8,10,28,0,0,30,0,53,31,48,30,0,45,43,0,0,9,36,24,43,0,12,1,1,85,31,21,42,20,14,51,0,0,22,2,1,0,0,10,10,10,0,3,3,3,4,3,10,12,8,8,63,38,64
55,17,59,3,41,7,30,44,58,0,55,0,50,1,1,0,3,5,5,15,0,49,49,33,47,40,36,59,0,1,26,32,17,34,21,0,0,0,2,11,1,23,43,0,39,2,22,37,36,15,14,15,48,57,1,0,3,3,2,49,52,31,27,1,14,51,13,23,0,0,0,80,42,8,7,7,0,3,1,2,3,50,9,9,38,8,63,43,182
56,16,41,3,25,7,30,71,58,0,55,0,50,0,0,1,2,6,4,26,0,49,3,33,47,40,39,56,1,12,26,0,15,36,17,0,0,21,25,12,1,23,16,13,0,11,15,42,40,18,15,15,48,57,31,8,8,2,3,31,52,49,54,44,51,51,20,27,13,1,4,15,53,9,9,0,1,0,0,0,0,2,9,9,22,13,75,50,182
57,19,14,0,30,6,22,15,52,1,33,1,50,6,1,4,1,5,2,31,25,19,3,24,30,28,60,60,12,12,47,22,3,53,23,27,10,10,0,12,18,18,16,13,0,19,14,0,0,3,15,0,31,38,28,0,8,1,0,64,52,5,54,0,28,10,14,23,21,2,1,7,17,1,5,5,14,2,2,2,4,50,0,0,34,54,91,15,305
58,19,23,0,28,7,5,3,47,1,1,2,50,8,5,1,1,5,5,31,0,31,49,17,47,40,53,35,0,1,39,48,16,46,21,0,10,0,31,12,10,16,45,24,0,18,18,4,0,3,15,15,48,57,45,0,8,7,4,38,52,20,39,0,40,46,14,4,2,4,3,7,2,1,1,1,0,3,4,4,4,50,12,2,18,54,84,31,110
59,21,24,0,50,7,8,9,4,1,52,1,4,10,8,4,1,5,1,31,0,31,49,33,47,40,7,51,6,13,12,12,58,8,17,0,3,0,0,12,10,16,27,0,25,18,18,14,16,15,15,15,48,57,57,0,1,0,5,1,52,49,54,44,51,51,20,0,10,3,2,0,75,9,8,5,9,5,4,4,4,17,9,10,38,54,32,50,86
60,17,19,0,30,10,31,53,58,0,55,0,50,1,1,3,1,3,2,31,35,31,49,27,29,28,36,45,9,12,48,42,5,15,10,0,0,3,0,10,0,22,26,17,0,6,24,13,0,0,11,2,21,24,7,37,9,6,1,49,37,5,43,15,50,38,10,0,2,1,4,0,43,5,4,5,0,3,2,3,2,42,8,10,16,54,63,15,305
61,20,18,0,25,7,3,2,55,1,46,1,12,9,6,1,1,6,1,31,0,20,49,1,1,28,72,38,0,21,12,43,52,15,21,20,31,0,0,1,29,4,50,0,45,30,0,45,43,0,1,0,0,5,46,0,1,0,5,83,52,49,54,44,51,51,20,64,22,4,3,7,52,8,10,9,10,1,4,2,4,17,10,9,15,54,19,50,248
62,18,49,0,63,7,41,22,20,1,55,0,50,0,0,4,2,5,3,22,0,49,49,33,47,40,55,13,1,12,43,46,9,50,21,26,8,37,0,10,22,3,1,2,0,29,5,39,0,0,11,15,48,57,1,49,1,0,5,80,52,49,54,44,51,51,20,0,3,2,1,5,0,10,10,10,0,3,3,0,3,50,8,1,10,8,87,50,71
63,22,32,5,29,6,27,13,4,1,3,1,46,9,7,3,2,7,4,12,0,19,11,12,47,40,14,35,2,16,12,52,16,15,18,15,8,14,9,1,19,15,48,13,39,30,0,45,43,0,1,6,27,10,7,17,2,3,1,58,52,20,41,0,28,47,1,42,10,1,4,54,43,8,6,7,2,3,3,3,4,2,12,9,39,8,52,31,286
64,16,34,4,17,7,5,71,58,0,55,0,50,1,1,1,1,0,5,31,21,31,49,11,20,28,14,30,1,17,15,53,21,15,21,15,18,10,20,0,30,0,53,31,48,30,0,45,43,0,0,2,21,5,43,33,8,3,2,61,52,31,25,29,16,0,0,0,22,4,3,54,49,1,10,5,0,3,2,0,0,50,10,9,11,54,52,43,6
65,11,27,2,84,16,81,71,58,0,55,0,50,1,1,0,1,4,5,31,25,31,49,33,1,39,36,33,10,1,26,53,18,34,17,18,0,0,30,11,25,17,16,13,15,1,23,1,0,20,14,3,17,24,57,0,8,7,4,78,52,36,46,0,28,51,13,0,0,0,0,7,0,5,5,3,13,4,4,2,2,2,0,9,9,54,63,48,6
66,18,12,8,48,6,33,13,18,30,55,0,50,0,0,4,2,5,1,31,1,27,36,2,37,31,75,15,7,14,12,0,23,62,21,15,10,10,9,10,2,21,43,0,39,3,11,14,16,0,17,15,48,57,32,0,9,3,1,32,52,34,42,20,14,0,16,0,2,4,3,7,49,5,3,0,0,3,4,2,1,38,8,9,18,54,21,46,114
67,21,28,5,36,7,13,10,14,12,8,47,49,7,5,3,4,0,5,31,0,31,49,33,47,40,69,27,10,20,47,0,19,34,21,26,0,34,9,13,6,24,45,24,0,25,17,0,0,10,16,0,0,5,52,0,4,3,3,64,52,38,46,43,43,3,15,0,0,0,0,7,49,0,10,1,22,4,0,0,2,14,9,10,21,54,14,7,270
68,1,29,4,22,7,10,3,2,74,52,1,43,11,9,3,2,5,4,29,32,31,11,20,47,40,53,37,10,28,44,19,14,46,21,2,5,10,21,1,19,15,17,14,0,30,0,45,43,0,14,15,48,57,3,17,2,1,3,29,52,20,37,15,40,20,13,33,2,4,3,15,0,6,10,6,1,4,4,2,4,43,9,10,30,8,84,31,64
69,19,23,5,31,7,78,6,57,1,52,1,50,8,6,1,1,5,2,15,0,31,49,33,47,40,36,47,0,12,43,22,3,34,4,13,33,2,0,0,30,0,53,31,48,30,0,45,43,0,0,15,48,57,45,37,2,7,3,70,52,49,54,44,51,51,20,29,15,3,2,0,0,10,10,10,0,2,4,3,3,16,11,9,22,26,63,50,286
70,22,37,1,30,7,19,15,15,1,9,1,7,8,6,5,3,7,5,22,33,31,36,33,35,28,62,14,7,12,45,53,39,54,21,0,2,9,5,13,3,11,1,0,2,11,15,1,2,15,7,3,18,39,7,32,1,0,5,31,47,33,7,15,46,51,7,40,3,3,2,7,0,10,10,10,0,3,3,2,3,0,11,9,37,8,9,45,113
71,17,36,5,30,7,15,2,58,0,55,0,50,1,1,3,1,0,5,8,0,31,24,33,47,40,39,28,1,22,15,0,25,36,21,15,8,2,5,10,18,18,26,17,0,19,14,20,19,0,14,15,48,57,10,21,2,3,2,78,52,9,21,32,16,0,13,0,2,2,1,0,0,10,10,10,0,1,2,0,2,50,8,0,3,36,75,26,182
72,18,47,5,41,3,35,8,2,2,55,0,50,6,4,4,1,0,4,12,0,49,49,33,47,40,75,19,1,16,12,15,16,8,21,12,0,0,45,11,10,16,1,2,0,18,18,1,0,4,14,15,48,57,57,0,1,0,5,61,52,49,54,44,51,51,20,0,2,3,2,7,0,10,10,10,0,1,2,0,4,50,9,10,22,28,21,50,1
73,1,48,3,23,3,11,8,6,55,3,1,2,11,8,0,4,6,4,22,0,49,4,11,17,6,39,35,0,20,17,53,16,36,10,0,0,0,2,15,6,24,45,24,0,1,23,34,15,20,18,15,48,57,57,0,1,0,5,1,49,31,28,23,14,51,17,0,0,3,2,7,0,10,10,10,0,4,0,2,2,50,9,10,23,8,75,43,84
