hhmem_size,landuseha,yrs_grow,lead_vill,cocoa_produce_kg,cocoa_produce_main_kg,cocoa_produce_light_kg,cocoa_sell_kg,shade_why1,hhgroup_m18,hhgroup_f18,hhgroup_m17,hhgroup_f17,cocoa_price_kg,screen_sharecrop,region,district,vill,village,region.1,community_type,ethnicity,religion,hhgroup_m18.1,hhgroup_f18.1,hhgroup_m17.1,hhgroup_f17.1,femhead,econstatus,cocoa_variety_1,cocoa_variety_2,cocoa_variety_3,cocoa_variety_4,cocoa_variety_5,farm_rights_1,farm_rights_2,farm_rights_3,farm_rights_4,farm_rights_5,farm_tenure_1,farm_tenure_2,farm_tenure_3,farm_tenure_4,farm_tenure_5,noncocoa_whyno_1,noncocoa_whyno_2,noncocoa_whyno_3,noncocoa_whyno_4,noncocoa_whyno_5,farm_swamp_1,farm_swamp_2,farm_swamp_3,farm_swamp_4,farm_swamp_5,shadetree_num_1,used_fert?,used_fert_lqd?,herbicide_yn,pesticide_yn,fungicide_yn,weeding_yn,pruning_yn,cocoa_intercrop,farm_rights,disease_loss,pest_loss,replant,shadetree_yn,doc_land,noncocoa,cocoa_yn,any_farm_above_1_21,hh_head_age,hh_head_education,hh_head_birthplace,cocoa_yield_ha,cocoa_ages_0_5_weighted,cocoa_ages_6_10_weighted,cocoa_ages_11_19_weighted,cocoa_ages_20_30_weighted,cocoa_ages_31_weighted,age_weighted_total
3,4.0,5,10,1445.0,1105.0,340.0,1105.0,1.0,,,,,11.764705657958984,0,5,51,51024,Koitienko,5,RESTORE,4,1.0,,,,,0,3,4 5,4 5,,,,10.0,10.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,2,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,53.0,3.0,0.0,361.25,5.384615384615385,0.0,33.84615384615385,60.76923076923077,0.0,100.0
7,6.5,1,97,25.0,20.0,5.0,,2.0,,,,,,0,4,41,41011,KLODIO,4,COMPARISON,2,1.0,,,,,0,4,5,,,,,11.0,10.0,11.0,,,1,1.0,1.0,,,2,2,2,,,2.0,2.0,2.0,,,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,52.0,3.0,0.0,3.8461538461538463,100.0,0.0,0.0,0.0,0.0,100.0
2,2.0,4,0,467.5,212.5,255.0,212.5,97.0,,,,,1000.0,0,5,51,51028,Ananguié,5,RESTORE,4,1.0,,,,,1,6,5,,,,,10.0,,,,,1,,,,,97,,,,,0.0,,,,,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,74.0,,1.0,233.75,0.0,0.0,100.0,0.0,0.0,100.0
3,1.0,1,0,153.0,100.0,53.0,,97.0,,,,,,0,7,74,74003,BOHOUIN,7,COMPARISON,4,1.0,,,,,0,2,97,,,,,10.0,,,,,1,,,,,9,,,,,0.0,,,,,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,23.0,,1.0,153.0,100.0,0.0,0.0,0.0,0.0,100.0
5,19.0,1,0,100.0,60.0,40.0,,,,,,,,0,4,41,41011,KLODIO,4,COMPARISON,2,1.0,,,,,0,8,5,,,,,1.0,1.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,35.0,5.0,0.0,5.2631578947368425,100.0,0.0,0.0,0.0,0.0,100.0
7,2.0,4,3,1500.0,1000.0,500.0,,2.0,,,,,,0,4,41,41017,BEOUE,4,RESTORE,4,2.0,,,,,0,5,5,,,,,6.0,6.0,,,,4,4.0,,,,,97,,,,0.0,3.0,,,,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,53.0,2.0,0.0,750.0,0.0,0.0,0.0,100.0,0.0,100.0
3,0.0,6,0,455.0,325.0,130.0,325.0,1.0,,,,,1000.0,0,5,51,51030,Assémanou,5,RESTORE,4,1.0,,,,,1,3,5,5,,,,,,,,,1,1.0,,,,97,,,,,0.0,0.0,,,,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,74.0,,1.0,,0.0,10.64516129032258,46.45161290322581,42.90322580645161,0.0,100.0
1,4.0,6,13,2500.0,2000.0,500.0,,,,,,,,0,7,72,72003,BOGUIé,7,COMPARISON,4,1.0,,,,,0,4,5,,,,,10.0,,,,,1,,,,,97,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,67.0,4.0,1.0,625.0,0.0,0.0,0.0,75.0,25.0,100.0
7,4.0,5,97,700.0,490.0,210.0,490.0,1.0,,,,,1000.0,0,5,51,51002,Akoikro,5,COMPARISON,0,2.0,,,,,0,3,4 5,,,,,10.0,,,,,1,,,,,,,,,,0.0,,,,,5,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,42.0,,1.0,175.0,0.0,25.0,25.0,50.0,0.0,100.0
4,4.5,2,6,1030.0,600.0,430.0,,1.0,,,,,,0,5,53,53004,N'Djorekro,5,COMPARISON,0,2.0,,,,,0,8,5,,,,,9.0,,,,,1,,,,,,,,,,0.0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,66.0,,0.0,228.88888888888889,25.0,75.0,0.0,0.0,0.0,100.0
5,3.75,3,0,360.0,240.0,120.0,240.0,1.0,,,,,900.0,0,7,75,75001,ASSE ORIé,7,COMPARISON,4,1.0,,,,,0,5,5,5,,,,10.0,10.0,,,,1,1.0,,,,,,,,,0.0,0.0,,,,2,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,48.0,1.0,1.0,96.0,23.3502538071066,70.05076142131979,6.598984771573605,0.0,0.0,100.0
